Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pause app,Chrome 99.0.4844.74,,,2022-03-21 10:43:02,2022-03-21 10:43:26,23.831s,PASSED
,,,,,,,
Test Cases/Everyday campaign pause/App-pause campaign,Chrome 99.0.4844.74,,Pause,2022-03-21 10:43:02,2022-03-21 10:43:26,23.544s,PASSED
"openBrowser("""")",Chrome 99.0.4844.74,,,2022-03-21 10:43:02,2022-03-21 10:43:05,2.327s,PASSED
"setViewPortSize(1700, 900)",Chrome 99.0.4844.74,,,2022-03-21 10:43:05,2022-03-21 10:43:05,0.153s,PASSED
"navigateToUrl(""https://app.adroot.io/auth/signin"")",Chrome 99.0.4844.74,,,2022-03-21 10:43:05,2022-03-21 10:43:07,2.270s,PASSED
"setText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_E-mail_email""), ""makronmanuel01@gmail.com"")",Chrome 99.0.4844.74,,,2022-03-21 10:43:07,2022-03-21 10:43:08,1.006s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), ""9juLMCYi8sYpY2Mrwe5diw=="")",Chrome 99.0.4844.74,,,2022-03-21 10:43:08,2022-03-21 10:43:09,0.568s,PASSED
"sendKeys(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), Keys.chord(ENTER))",Chrome 99.0.4844.74,,,2022-03-21 10:43:09,2022-03-21 10:43:09,0.531s,PASSED
"click(findTestObject(""Page_AdRoot  Campaigns/img""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:09,2022-03-21 10:43:11,1.906s,PASSED
"click(findTestObject(""Page_AdRoot  Campaigns/div_By Ruzan (app)""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:11,2022-03-21 10:43:12,0.547s,PASSED
"click(findTestObject(""Campaign copy/Page_AdRoot  Dashboard/a_Campaigns""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:12,2022-03-21 10:43:14,2.271s,PASSED
"click(findTestObject(""Regular Create campaign/Page_AdRoot  Campaigns/div_Campaign View""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:14,2022-03-21 10:43:15,1.236s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:15,2022-03-21 10:43:17,1.419s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:17,2022-03-21 10:43:17,0.497s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:17,2022-03-21 10:43:18,0.543s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot4428""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:18,2022-03-21 10:43:18,0.512s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue_1""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:18,2022-03-21 10:43:19,0.745s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:19,2022-03-21 10:43:19,0.467s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:19,2022-03-21 10:43:20,0.518s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot1390""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:20,2022-03-21 10:43:21,0.507s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:21,2022-03-21 10:43:21,0.710s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:21,2022-03-21 10:43:22,0.515s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:22,2022-03-21 10:43:22,0.487s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot976""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:22,2022-03-21 10:43:23,0.507s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue_1""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:23,2022-03-21 10:43:23,0.741s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:23,2022-03-21 10:43:24,0.485s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:24,2022-03-21 10:43:24,0.511s,PASSED
"click(findTestObject(""Campaign copy/Page_AdRoot  Dashboard/a_Campaigns""))",Chrome 99.0.4844.74,,,2022-03-21 10:43:24,2022-03-21 10:43:25,0.470s,PASSED
closeBrowser(),Chrome 99.0.4844.74,,,2022-03-21 10:43:25,2022-03-21 10:43:26,0.729s,PASSED
