Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pause app,Chrome 98.0.4758.102,,,2022-02-21 10:53:38,2022-02-21 10:54:03,24.209s,PASSED
,,,,,,,
Test Cases/Everyday campaign pause/App-pause campaign,Chrome 98.0.4758.102,,Pause,2022-02-21 10:53:39,2022-02-21 10:54:03,23.946s,PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-02-21 10:53:39,2022-02-21 10:53:41,2.278s,PASSED
"navigateToUrl(""https://app.adroot.io/auth/signin"")",Chrome 98.0.4758.102,,,2022-02-21 10:53:41,2022-02-21 10:53:44,2.318s,PASSED
"setText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_E-mail_email""), ""makronmanuel01@gmail.com"")",Chrome 98.0.4758.102,,,2022-02-21 10:53:44,2022-02-21 10:53:45,0.971s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), ""9juLMCYi8sYpY2Mrwe5diw=="")",Chrome 98.0.4758.102,,,2022-02-21 10:53:45,2022-02-21 10:53:45,0.599s,PASSED
"sendKeys(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), Keys.chord(ENTER))",Chrome 98.0.4758.102,,,2022-02-21 10:53:45,2022-02-21 10:53:46,0.521s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/img""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:46,2022-02-21 10:53:48,1.856s,PASSED
"click(findTestObject(""App-Create campaign/Page_AdRoot  Campaigns/div_By Ruzan (app)""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:48,2022-02-21 10:53:48,0.530s,PASSED
"click(findTestObject(""Pause dev campaign/Page_AdRoot  Dashboard/a_Campaigns""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:48,2022-02-21 10:53:51,3.097s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Campaign View""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:51,2022-02-21 10:53:52,1.219s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:52,2022-02-21 10:53:54,1.050s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:54,2022-02-21 10:53:54,0.487s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:54,2022-02-21 10:53:55,0.544s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot4428""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:55,2022-02-21 10:53:55,0.488s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue_1""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:55,2022-02-21 10:53:56,0.803s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:56,2022-02-21 10:53:56,0.496s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:56,2022-02-21 10:53:57,0.540s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot1390""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:57,2022-02-21 10:53:57,0.486s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:57,2022-02-21 10:53:58,0.876s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:58,2022-02-21 10:53:59,0.480s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:59,2022-02-21 10:53:59,0.522s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot976""))",Chrome 98.0.4758.102,,,2022-02-21 10:53:59,2022-02-21 10:54:00,0.512s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue_1""))",Chrome 98.0.4758.102,,,2022-02-21 10:54:00,2022-02-21 10:54:01,0.729s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:54:01,2022-02-21 10:54:01,0.484s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 98.0.4758.102,,,2022-02-21 10:54:01,2022-02-21 10:54:02,0.540s,PASSED
"click(findTestObject(""Pause dev campaign/Page_AdRoot  Dashboard/a_Campaigns""))",Chrome 98.0.4758.102,,,2022-02-21 10:54:02,2022-02-21 10:54:02,0.487s,PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-02-21 10:54:02,2022-02-21 10:54:03,0.675s,PASSED
